Suburb,SalesDifference,NumberofSales
Heathmont,-27.2484076433121,16
Heidelberg,7.751592356687901,51
Heidelberg Heights,34.7515923566879,78
Heidelberg West,32.7515923566879,76
Highett,-16.2484076433121,27
Hillside,-25.2484076433121,18
Hoppers Crossing,-5.248407643312099,38
Hughesdale,-8.248407643312099,35
Huntingdale,-36.2484076433121,7
Hurstbridge,-41.2484076433121,2
Ivanhoe,54.7515923566879,98
Ivanhoe East,-18.2484076433121,25
Jacana,-18.2484076433121,25
Kealba,-24.2484076433121,19
Keilor,-34.2484076433121,9
Keilor Downs,-28.2484076433121,15
Keilor East,77.7515923566879,121
Keilor Lodge,-41.2484076433121,2
Keilor Park,-21.2484076433121,22
Kensington,73.7515923566879,117
Kew,133.7515923566879,177
Kew East,5.751592356687901,49
Keysborough,-32.2484076433121,11
Kilsyth,-39.2484076433121,4
Kings Park,-38.2484076433121,5
Kingsbury,-30.2484076433121,13
Kingsville,-9.248407643312099,34
Knoxfield,-39.2484076433121,4
Kooyong,-41.2484076433121,2
Kurunjang,-39.2484076433121,4
Lalor,-1.248407643312099,42
Langwarrin,-37.2484076433121,6
Lower Plenty,-38.2484076433121,5
Maidstone,50.7515923566879,94
Malvern,23.7515923566879,67
Malvern East,73.7515923566879,117
Maribyrnong,52.7515923566879,96
McKinnon,-35.2484076433121,8
Meadow Heights,-26.2484076433121,17
Melbourne,2.751592356687901,46
Melton,-31.2484076433121,12
Melton South,-25.2484076433121,18
Melton West,-35.2484076433121,8
Mentone,-17.2484076433121,26
Mernda,-34.2484076433121,9
Middle Park,-9.248407643312099,34
Mill Park,-0.24840764331209897,43
Mitcham,-13.248407643312099,30
Monbulk,-42.2484076433121,1
Mont Albert,-9.248407643312099,34
Montmorency,-26.2484076433121,17
Montrose,-42.2484076433121,1
Moonee Ponds,105.7515923566879,149
Moorabbin,20.7515923566879,64
Mooroolbark,-31.2484076433121,12
Mordialloc,-25.2484076433121,18
Mount Evelyn,-41.2484076433121,2
Mount Waverley,13.751592356687901,57
Mulgrave,-14.248407643312099,29
Murrumbeena,38.7515923566879,82
Narre Warren,-36.2484076433121,7
New Gisborne,-42.2484076433121,1
Newport,93.7515923566879,137
Niddrie,38.7515923566879,82
Noble Park,-31.2484076433121,12
North Melbourne,37.7515923566879,81
North Warrandyte,-41.2484076433121,2
Northcote,144.7515923566879,188
Notting Hill,-40.2484076433121,3
Nunawading,-23.2484076433121,20
Oak Park,19.7515923566879,63
Oakleigh,3.751592356687901,47
Oakleigh East,-32.2484076433121,11
Oakleigh South,14.751592356687901,58
Officer,-42.2484076433121,1
Ormond,39.7515923566879,83
Pakenham,-40.2484076433121,3
Parkdale,-19.2484076433121,24
Parkville,-12.248407643312099,31
Pascoe Vale,127.7515923566879,171
Plumpton,-42.2484076433121,1
Point Cook,-30.2484076433121,13
Port Melbourne,109.7515923566879,153
Prahran,79.7515923566879,123
Preston,195.7515923566879,239
Princes Hill,-38.2484076433121,5
Reservoir,315.7515923566879,359
Richmond,216.7515923566879,260
Riddells Creek,-42.2484076433121,1
Ringwood,-23.2484076433121,20
Ringwood East,-31.2484076433121,12
Ringwood North,-33.2484076433121,10
Ripponlea,-34.2484076433121,9
Rockbank,-42.2484076433121,1
Rosanna,17.7515923566879,61
Rowville,-33.2484076433121,10
Roxburgh Park,-28.2484076433121,15
Sandhurst,-42.2484076433121,1
Sandringham,-18.2484076433121,25
Scoresby,-35.2484076433121,8
Seabrook,-40.2484076433121,3
Seaford,-29.2484076433121,14
Seaholme,-37.2484076433121,6
Seddon,18.7515923566879,62
Silvan,-41.2484076433121,2
